epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,23160355966.0,97737.625,23160355000.0,10921789.0,2755.22998046875,10921789.0
1,6862155.3,2161.1938,6862155.0,5146754.5,1975.990966796875,5146754.5
2,6360110.6,1998.9769,6360110.5,26806748.0,4754.15185546875,26806748.0
3,16707625.0,3136.8105,16707624.0,5934790.0,1822.089599609375,5934790.0
4,5735017.2,1673.2328,5735017.0,3833235.25,1597.8648681640625,3833235.25
5,3951261.3,1371.424,3951261.2,4697437.0,1635.564453125,4697437.0
6,4568006.0,1422.4563,4568006.0,3822218.5,1492.2867431640625,3822218.5
7,4175537.2,1429.5486,4175537.2,3872877.25,1488.69287109375,3872877.25
8,4148622.4,1455.6332,4148622.5,3875977.5,1488.3160400390625,3875977.5
9,4077093.4,1387.4606,4077093.2,3754252.75,1472.9014892578125,3754252.75
10,3989289.45,1434.6129,3989289.5,3898018.5,1481.140869140625,3898018.5
11,3891325.5,1325.8701,3891325.5,3299203.25,1485.525634765625,3299203.25
12,3634383.825,1485.4949,3634384.0,5109313.0,1703.4857177734375,5109313.0
13,4711391.3,1431.1057,4711391.0,2989715.5,1468.3287353515625,2989715.5
14,3937389.3125,1654.483,3937389.2,4851008.0,1665.740966796875,4851008.0
15,5230794.0,1583.0662,5230794.0,4091530.5,1543.618408203125,4091530.5
16,3269458.8,1379.8599,3269458.8,2664219.25,1410.769287109375,2664219.25
17,3456019.85,1375.5419,3456020.0,3454801.5,1432.337646484375,3454801.5
18,2451819.95,1138.3068,2451820.0,2537470.5,1300.511962890625,2537470.5
19,3547219.35,1552.0707,3547219.2,3996627.5,1530.550537109375,3996627.5
20,1812549.425,989.8397,1812549.4,2344469.5,1361.1295166015625,2344469.5
21,1382285.475,930.1584,1382285.5,2833886.25,1303.9127197265625,2833886.25
22,1089858.29375,817.89,1089858.2,2347946.5,1278.1929931640625,2347946.5
23,780594.25,692.7814,780594.25,2911958.5,1265.464111328125,2911958.5
24,683871.59375,652.99414,683871.56,2583856.5,1164.859619140625,2583856.5
25,533011.6125,583.81573,533011.6,2504885.25,1112.27001953125,2504885.25
26,300557.63125,419.43848,300557.66,2891423.25,1186.1318359375,2891423.25
27,276882.1875,419.20248,276882.2,2334116.5,1127.297119140625,2334116.5
28,2092738.7375,1225.8519,2092738.8,2370612.0,1270.2767333984375,2370612.0
29,865928.1,767.67017,865928.1,7998573.0,2441.487060546875,7998573.0
30,2084412.8,1185.4235,2084412.8,2389814.5,1381.1634521484375,2389814.5
31,951118.125,783.6947,951118.1,3516360.0,1413.347900390625,3516360.0
32,901024.75,743.48175,901024.8,2230181.25,1179.107177734375,2230181.25
33,583841.7875,619.0636,583841.8,2406759.25,1147.6953125,2406759.25
34,395179.1375,517.181,395179.16,3433644.0,1384.5748291015625,3433644.0
35,330128.825,461.08783,330128.84,2304690.25,1189.754638671875,2304690.25
36,284901.10625,436.4293,284901.1,2874465.5,1224.381103515625,2874465.5
37,245912.65625,395.2493,245912.66,2578317.75,1172.1602783203125,2578317.75
38,186371.575,346.9078,186371.58,2516163.5,1149.6419677734375,2516163.5
39,135456.696875,300.60638,135456.7,2992650.5,1246.853515625,2992650.5
40,106592.334375,272.83737,106592.336,2474240.75,1179.09521484375,2474240.75
41,88893.65,233.89774,88893.65,2978627.0,1242.123046875,2978627.0
42,97474.7875,255.47359,97474.79,2603905.5,1181.9921875,2603905.5
43,68920.91328125,216.47652,68920.92,2562019.5,1194.6470947265625,2562019.5
44,42021.2109375,169.49063,42021.21,2934171.5,1228.970458984375,2934171.5
45,51780.540625,180.91728,51780.54,2578530.5,1223.064208984375,2578530.5
46,47202.87265625,165.83112,47202.87,2810649.5,1229.0477294921875,2810649.5
47,36701.5625,157.14027,36701.562,2762512.75,1224.0653076171875,2762512.75
48,22684.0625,110.15969,22684.062,2581708.0,1217.1409912109375,2581708.0
49,22215.37578125,109.767075,22215.375,2793624.0,1219.5625,2793624.0
